ModelName	Perplexity
rwkv-4-430m-pile	22.628058423325147
rwkv-4-3b-pile	14.000975496007467
rwkv-4-1b5-pile	16.177123281059135
rwkv-4-169m-pile	33.109609629730606
mamba-790m-hf	15.056173330045368
mamba-130m-hf	26.250620776454024
mamba-370m-hf	18.248693266502332
mamba-1_4b-hf	13.565887344558467
mamba-2_8b-hf	11.763163757134548
pythia-1b	16.451137583356747
pythia-2_8b	12.689051568126963
pythia-160m	33.11619603628333
pythia-1_4b	14.718074632575448
pythia-410m	20.09695536756729
