rt	wlen	unigramsurp	subject	docid	sentid	sentpos
1116	5	7.2216263	s009	Boar	0	21
1288	5	7.2216263	s016	Boar	0	21
1104	5	7.2216263	s024	Boar	0	21
1773	5	7.2216263	s043	Boar	0	21
940	5	7.2216263	s052	Boar	0	21
1958	5	7.2216263	s067	Boar	0	21
607	2	2.321949	s009	Boar	0	22
952	2	2.321949	s016	Boar	0	22
688	2	2.321949	s024	Boar	0	22
936	2	2.321949	s043	Boar	0	22
725	2	2.321949	s052	Boar	0	22
671	2	2.321949	s067	Boar	0	22
741	2	2.321949	s085	Boar	0	22
1140	4	3.5241838	s009	Boar	0	23
856	4	3.5241838	s016	Boar	0	23
1089	4	3.5241838	s024	Boar	0	23
1199	4	3.5241838	s043	Boar	0	23
864	4	3.5241838	s052	Boar	0	23
941	4	3.5241838	s067	Boar	0	23
735	4	3.5241838	s085	Boar	0	23
612	2	2.321949	s009	Boar	0	24
416	2	2.321949	s016	Boar	0	24
703	2	2.321949	s024	Boar	0	24
1637	2	2.321949	s043	Boar	0	24
567	2	2.321949	s052	Boar	0	24
650	2	2.321949	s067	Boar	0	24
502	2	2.321949	s085	Boar	0	24
580	2	2.16529	s009	Boar	1	2
692	2	2.16529	s016	Boar	1	2
552	2	2.16529	s024	Boar	1	2
596	2	2.16529	s052	Boar	1	2
649	2	2.16529	s067	Boar	1	2
528	2	2.16529	s085	Boar	1	2
615	2	1.7076293	s009	Boar	1	3
600	2	1.7076293	s016	Boar	1	3
936	2	1.7076293	s024	Boar	1	3
987	2	1.7076293	s043	Boar	1	3
1141	2	1.7076293	s052	Boar	1	3
737	2	1.7076293	s067	Boar	1	3
573	2	1.7076293	s085	Boar	1	3
569	4	2.6851523	s009	Boar	1	4
585	4	2.6851523	s016	Boar	1	4
960	4	2.6851523	s024	Boar	1	4
980	4	2.6851523	s043	Boar	1	4
707	4	2.6851523	s052	Boar	1	4
801	4	2.6851523	s067	Boar	1	4
645	4	2.6851523	s085	Boar	1	4
509	6	5.2204657	s009	Boar	1	5
799	6	5.2204657	s016	Boar	1	5
1272	6	5.2204657	s024	Boar	1	5
828	6	5.2204657	s043	Boar	1	5
813	6	5.2204657	s052	Boar	1	5
865	6	5.2204657	s067	Boar	1	5
728	6	5.2204657	s085	Boar	1	5
747	5	3.144751	s009	Boar	1	6
583	5	3.144751	s016	Boar	1	6
632	5	3.144751	s024	Boar	1	6
925	5	3.144751	s043	Boar	1	6
765	5	3.144751	s052	Boar	1	6
650	5	3.144751	s067	Boar	1	6
713	5	3.144751	s085	Boar	1	6
745	3	3.0061398	s009	Boar	1	7
628	3	3.0061398	s016	Boar	1	7
632	3	3.0061398	s024	Boar	1	7
683	3	3.0061398	s043	Boar	1	7
785	3	3.0061398	s052	Boar	1	7
603	3	3.0061398	s067	Boar	1	7
609	3	3.0061398	s085	Boar	1	7
672	5	2.6770096	s009	Boar	1	8
620	5	2.6770096	s016	Boar	1	8
608	5	2.6770096	s024	Boar	1	8
895	5	2.6770096	s043	Boar	1	8
566	5	2.6770096	s052	Boar	1	8
830	5	2.6770096	s067	Boar	1	8
837	5	2.6770096	s085	Boar	1	8
594	4	3.672811	s009	Boar	1	9
578	4	3.672811	s016	Boar	1	9
816	4	3.672811	s024	Boar	1	9
969	4	3.672811	s043	Boar	1	9
746	4	3.672811	s052	Boar	1	9
847	4	3.672811	s067	Boar	1	9
893	4	3.672811	s085	Boar	1	9
2150	3	1.2888894	s009	Boar	1	10
670	3	1.2888894	s016	Boar	1	10
743	3	1.2888894	s043	Boar	1	10
714	3	1.2888894	s052	Boar	1	10
874	3	1.2888894	s067	Boar	1	10
546	3	1.2888894	s085	Boar	1	10
1284	4	3.4963987	s009	Boar	1	11
1453	4	3.4963987	s016	Boar	1	11
960	4	3.4963987	s024	Boar	1	11
897	4	3.4963987	s043	Boar	1	11
1281	4	3.4963987	s052	Boar	1	11
1378	4	3.4963987	s067	Boar	1	11
948	4	3.4963987	s085	Boar	1	11
603	2	1.6084222	s009	Boar	1	12
779	2	1.6084222	s016	Boar	1	12
570	2	1.6084222	s024	Boar	1	12
727	2	1.6084222	s043	Boar	1	12
637	2	1.6084222	s052	Boar	1	12
754	2	1.6084222	s067	Boar	1	12
623	2	1.6084222	s085	Boar	1	12
1013	9	6.2114596	s009	Boar	1	13
977	9	6.2114596	s016	Boar	1	13
1222	9	6.2114596	s024	Boar	1	13
783	9	6.2114596	s043	Boar	1	13
992	9	6.2114596	s052	Boar	1	13
1022	9	6.2114596	s067	Boar	1	13
774	9	6.2114596	s085	Boar	1	13
710	5	3.144751	s009	Boar	1	14
823	5	3.144751	s016	Boar	1	14
1168	5	3.144751	s024	Boar	1	14
1066	5	3.144751	s043	Boar	1	14
934	5	3.144751	s052	Boar	1	14
1157	5	3.144751	s067	Boar	1	14
727	5	3.144751	s085	Boar	1	14
994	4	3.725601	s009	Boar	1	15
713	4	3.725601	s016	Boar	1	15
728	4	3.725601	s024	Boar	1	15
1606	4	3.725601	s043	Boar	1	15
1351	4	3.725601	s052	Boar	1	15
1247	4	3.725601	s067	Boar	1	15
588	4	3.725601	s085	Boar	1	15
575	1	1.6849625	s009	Boar	1	16
903	1	1.6849625	s016	Boar	1	16
968	1	1.6849625	s024	Boar	1	16
711	1	1.6849625	s043	Boar	1	16
1540	1	1.6849625	s052	Boar	1	16
830	1	1.6849625	s067	Boar	1	16
934	1	1.6849625	s085	Boar	1	16
835	8	4.7206774	s009	Boar	1	17
648	8	4.7206774	s016	Boar	1	17
1520	8	4.7206774	s024	Boar	1	17
997	8	4.7206774	s043	Boar	1	17
1012	8	4.7206774	s052	Boar	1	17
1031	8	4.7206774	s067	Boar	1	17
2294	8	4.7206774	s085	Boar	1	17
1605	8	5.3364315	s009	Boar	1	18
1169	8	5.3364315	s016	Boar	1	18
1184	8	5.3364315	s024	Boar	1	18
2446	8	5.3364315	s043	Boar	1	18
2046	8	5.3364315	s052	Boar	1	18
3202	8	5.3364315	s067	Boar	1	18
1310	8	5.3364315	s085	Boar	1	18
1363	7	9.64079	s009	Boar	1	19
1580	7	9.64079	s016	Boar	1	19
1264	7	9.64079	s024	Boar	1	19
3200	7	9.64079	s043	Boar	1	19
3789	7	9.64079	s067	Boar	1	19
1890	7	9.64079	s085	Boar	1	19
1557	4	2.069754	s009	Boar	1	20
640	4	2.069754	s016	Boar	1	20
968	4	2.069754	s024	Boar	1	20
2787	4	2.069754	s043	Boar	1	20
688	4	2.069754	s067	Boar	1	20
1536	6	6.6666007	s009	Boar	1	21
1699	6	6.6666007	s016	Boar	1	21
960	6	6.6666007	s024	Boar	1	21
1856	6	6.6666007	s043	Boar	1	21
1390	6	6.6666007	s052	Boar	1	21
4373	6	6.6666007	s067	Boar	1	21
1573	6	6.6666007	s085	Boar	1	21
595	3	1.6774666	s009	Boar	1	22
585	3	1.6774666	s016	Boar	1	22
794	3	1.6774666	s024	Boar	1	22
920	3	1.6774666	s043	Boar	1	22
1342	3	1.6774666	s052	Boar	1	22
768	3	1.6774666	s067	Boar	1	22
973	3	1.6774666	s085	Boar	1	22
1129	9	6.688162	s009	Boar	1	23
647	9	6.688162	s016	Boar	1	23
1150	9	6.688162	s024	Boar	1	23
2177	9	6.688162	s043	Boar	1	23
874	9	6.688162	s052	Boar	1	23
2726	9	6.688162	s067	Boar	1	23
952	9	6.688162	s085	Boar	1	23
1255	4	5.2249475	s009	Boar	1	24
876	4	5.2249475	s016	Boar	1	24
1481	4	5.2249475	s024	Boar	1	24
2384	4	5.2249475	s043	Boar	1	24
1174	4	5.2249475	s052	Boar	1	24
3778	4	5.2249475	s067	Boar	1	24
1918	4	5.2249475	s085	Boar	1	24
1533	4	5.5330505	s009	Boar	1	25
1010	4	5.5330505	s016	Boar	1	25
1219	4	5.5330505	s052	Boar	1	25
2362	4	5.5330505	s067	Boar	1	25
1247	4	5.5330505	s085	Boar	1	25
1084	4	2.9016821	s009	Boar	1	26
715	4	2.9016821	s016	Boar	1	26
672	4	2.9016821	s024	Boar	1	26
2103	4	2.9016821	s043	Boar	1	26
835	4	2.9016821	s052	Boar	1	26
1289	4	2.9016821	s067	Boar	1	26
677	4	2.9016821	s085	Boar	1	26
1964	5	3.5596344	s009	Boar	1	27
2284	5	3.5596344	s016	Boar	1	27
913	5	3.5596344	s043	Boar	1	27
2187	5	3.5596344	s052	Boar	1	27
3156	5	3.5596344	s067	Boar	1	27
1107	5	3.5596344	s085	Boar	1	27
1024	3	2.065867	s009	Boar	1	28
800	3	2.065867	s016	Boar	1	28
1080	3	2.065867	s024	Boar	1	28
883	3	2.065867	s043	Boar	1	28
693	3	2.065867	s052	Boar	1	28
2010	3	2.065867	s067	Boar	1	28
998	3	2.065867	s085	Boar	1	28
591	3	1.2888894	s009	Boar	1	29
505	3	1.2888894	s016	Boar	1	29
624	3	1.2888894	s024	Boar	1	29
878	3	1.2888894	s043	Boar	1	29
706	3	1.2888894	s052	Boar	1	29
764	3	1.2888894	s067	Boar	1	29
732	3	1.2888894	s085	Boar	1	29
2017	12	7.9024544	s024	Boar	1	30
4117	12	7.9024544	s043	Boar	1	30
2142	12	7.9024544	s067	Boar	1	30
3437	4	5.391283	s009	Boar	1	31
1804	4	5.391283	s016	Boar	1	31
1136	4	5.391283	s024	Boar	1	31
1361	4	5.391283	s043	Boar	1	31
1332	4	5.391283	s052	Boar	1	31
3558	4	5.391283	s067	Boar	1	31
980	4	5.391283	s085	Boar	1	31
2179	3	2.9162576	s009	Boar	2	2
1423	3	2.9162576	s016	Boar	2	2
